snapped_at,price,market_cap,total_volume
2019-08-10 00:00:00 UTC,0.2249569127097399,625274746.3702558,8964703.558705015
2019-08-11 00:00:00 UTC,0.2314445191559305,643413046.8211616,6840713.869410307
2019-08-12 00:00:00 UTC,0.24004411195458514,666429493.3822569,6275363.553968972
2019-08-13 00:00:00 UTC,0.23107678335184473,642668750.156938,5477603.7646676935
2019-08-14 00:00:00 UTC,0.22946374996685406,637942356.0137544,6604114.801063459
2019-08-15 00:00:00 UTC,0.20747495110017466,575975741.4124706,7353135.501390321
2019-08-16 00:00:00 UTC,0.21948344663130145,609639539.9453917,5210118.04600852
2019-08-17 00:00:00 UTC,0.21736692676627495,605505893.8511828,5919472.64189147
2019-08-18 00:00:00 UTC,0.21811206619835652,606297979.658515,4504214.087123003
2019-08-19 00:00:00 UTC,0.2229032456113822,619560540.2937318,4709932.041860298
2019-08-20 00:00:00 UTC,0.22681560208374113,630736406.0479091,4948258.385603927
2019-08-21 00:00:00 UTC,0.2247215929841401,624620473.0058366,4595524.757691843
2019-08-22 00:00:00 UTC,0.21721895356988336,603520372.7947196,3984365.4716242724
2019-08-23 00:00:00 UTC,0.23552854737411624,655339151.5978023,7787080.238092728
2019-08-24 00:00:00 UTC,0.23112751933435904,642860742.1394417,6136688.813892239
2019-08-25 00:00:00 UTC,0.2304509739846499,640249924.6273131,4789737.584572227
2019-08-26 00:00:00 UTC,0.23756838514526,660217285.5940182,6149804.679869891
2019-08-27 00:00:00 UTC,0.24219420172141112,673186132.0085485,4931956.705927803
2019-08-28 00:00:00 UTC,0.23507421130152034,654007342.618499,4706599.443375772
2019-08-29 00:00:00 UTC,0.21992862058983562,611275669.7420874,4969707.721423651
2019-08-30 00:00:00 UTC,0.22517266015905638,625060744.1306881,6403156.037187551
2019-08-31 00:00:00 UTC,0.2294254985406231,637664728.6839188,4061549.2805592525
2019-09-01 00:00:00 UTC,0.22410592689893447,622909210.4776206,3814041.716533437
2019-09-02 00:00:00 UTC,0.21911190458304422,609064649.5106198,3809614.7177395034
2019-09-03 00:00:00 UTC,0.22736322276063245,631297492.442664,4140676.3757765307
2019-09-04 00:00:00 UTC,0.22681965760965966,630452107.1687422,4794707.737039055
2019-09-05 00:00:00 UTC,0.22324010386309528,620492845.6991894,3969865.9656709167
2019-09-06 00:00:00 UTC,0.21955664539792827,610054326.7777464,4403483.9733415665
2019-09-07 00:00:00 UTC,0.20745944955421933,576645593.4477085,4746009.115140896
2019-09-08 00:00:00 UTC,0.2166761213587072,602257840.9796939,3336816.408394039
2019-09-09 00:00:00 UTC,0.22113368710497952,614269595.6921955,2750371.2423880175
2019-09-10 00:00:00 UTC,0.21650897067912628,601793240.6039283,3950345.7947594617
2019-09-11 00:00:00 UTC,0.21628404912056032,600962593.9091097,2905548.286625094
