"COUNTRY","ISO COUNTRY CODE (ISO 3166)","MIC","OPERATING MIC","O/S","NAME-INSTITUTION DESCRIPTION","ACRONYM","CITY","WEBSITE","STATUS DATE","STATUS","CREATION DATE","COMMENTS"
"IRELAND","IE","ITGL","ITGL","O","POSIT MTF","POSIT","DUBLIN","WWW.VIRTU.COM","OCTOBER 2019","ACTIVE","OCTOBER 2017",""
"JORDAN","JO","XAMM","XAMM","O","AMMAN STOCK EXCHANGE","ASE","AMMAN","WWW.EXCHANGE.JO","OCTOBER 2019","ACTIVE","JUNE 2005",""
"JORDAN","JO","AMNL","XAMM","S","AMMAN STOCK EXCHANGE - NON-LISTED SECURITIES MARKET","ASE","AMMAN","WWW.EXCHANGE.JO","OCTOBER 2019","ACTIVE","OCTOBER 2019",""
"HUNGARY","HU","BETA","XBUD","S","BETA MARKET","","BUDAPEST","WWW.BSE.HU","OCTOBER 2019","ACTIVE","DECEMBER 2011","LAUNCHED IN NOVEMBER 2011,  MULTILATERAL TRADING FACILITY."
"UNITED KINGDOM","GB","VFGB","VFGB","O","VIRTU FINANCIAL IRELAND LIMITED (LONDON BRANCH) - SYSTEMATIC INTERNALISER","","LONDON","WWW.VIRTU.COM","OCTOBER 2019","ACTIVE","OCTOBER 2019","SYSTEMATIC INTERNALISER."
"LITHUANIA","LT","SEBL","SEBL","O","SEB LITHUANIA - SYSTEMATIC INTERNALISER","","VILNIUS","WWW.SEB.LT","OCTOBER 2019","ACTIVE","OCTOBER 2019","SYSTEMATIC INTERNALISER."
"UNITED KINGDOM","GB","XPOL","VIUK","S","POSIT DARK UK","","LONDON","WWW.ITG.COM","OCTOBER 2019","ACTIVE","APRIL 2019",""
"UNITED KINGDOM","GB","XPAL","VIUK","S","POSIT AUCTION UK","","LONDON","WWW.VIRTU.COM","OCTOBER 2019","ACTIVE","APRIL 2019",""
"UNITED KINGDOM","GB","VIUK","VIUK","O","POSIT UK","","LONDON","WWW.VIRTU.COM","OCTOBER 2019","ACTIVE","OCTOBER 2019",""
"UNITED STATES OF AMERICA","US","ASPI","INCR","S","INTELLIGENTCROSS ASPEN INVERTED","","STAMFORD","WWW.INTELLIGENTCROSS.COM","OCTOBER 2019","ACTIVE","OCTOBER 2019",""
"UNITED STATES OF AMERICA","US","ASMT","INCR","S","INTELLIGENTCROSS ASPEN MAKER/TAKER","","STAMFORD","WWW.INTELLIGENTCROSS.COM","OCTOBER 2019","ACTIVE","OCTOBER 2019",""
"UNITED STATES OF AMERICA","US","ASPN","INCR","S","INTELLIGENTCROSS ASPEN INTELLIGENT BID/OFFER","","STAMFORD","WWW.INTELLIGENTCROSS.COM","OCTOBER 2019","ACTIVE","OCTOBER 2019",""
"UNITED STATES OF AMERICA","US","CISD","XNYS","S","NYSE NATIONAL, INC. - DARK","","NEW YORK","WWW.NYSE.COM","OCTOBER 2019","ACTIVE","OCTOBER 2019","DARK MIC FOR NYSE NATIONAL."
"GERMANY","DE","CDSI","CSDA","S","CREDIT SUISSE (DEUTSCHLAND) AG - SYSTEMATIC INTERNALISER","CSD SI","FRANKFURT","WWW.CREDIT-SUISSE.COM","SEPTEMBER 2019","ACTIVE","SEPTEMBER 2019","SYSTEMATIC INTERNALISER."
"THE NETHERLANDS","NL","RESF","EBSN","S","EBS MTF - RESET SEGMENT","","AMSTERDAM","WWW.NEX.COM","SEPTEMBER 2019","ACTIVE","SEPTEMBER 2019",""
